store_address,city,state,latitude,longitude
"340 Reed St, Basalt, CO 81621, USA",Basalt,Colorado,39.387006,-107.082616
"3780 Riverchase Village, Hoover, AL 35244, USA",Hoover,Alabama,33.377403,-86.80112
"650 Town Center Dr, Oxnard, CA 93036, USA",Oxnard,California,34.240049,-119.179144
"340 3rd St, San Rafael, CA 94901, USA",San Rafael,California,37.971319,-122.516847
"1010 Park Pl, San Mateo, CA 94403, USA",San Mateo,California,37.544283,-122.292175
"7881 Edinger Ave #150, Huntington Beach, CA 92647, USA",Huntington Beach,California,33.731337,-117.991241
"1111 S Washington St, Denver, CO 80210, USA",Denver,Colorado,39.696018,-104.979909
"55 Welles St, Glastonbury, CT 06033, USA",Glastonbury,Connecticut,41.714972,-72.607061
"2411 N Federal Hwy, Pompano Beach, FL 33064, USA",Pompano Beach,Florida,26.261326,-80.101292
"2111 Briarcliff Rd NE, Atlanta, GA 30329, USA",Atlanta,Georgia,33.815781,-84.333262
"30 W Huron St, Chicago, IL 60654, USA",Chicago,Illinois,41.89502,-87.629069
"160 Littleton Rd, Westford, MA 01886, USA",Westford,Massachusetts,42.568264,-71.419986
"4944 Shelbyville Rd, Louisville, KY 40207, USA",Louisville,Kentucky,38.248661,-85.626006
"41 Miller St, Winston-Salem, NC 27104, USA",Winston-Salem,North Carolina,36.094265,-80.273694
"193 Boston Turnpike, Shrewsbury, MA 01545, USA",Shrewsbury,Massachusetts,42.275888,-71.745705
"12201 Elm Creek Blvd N, Maple Grove, MN 55369, USA",Maple Grove,Minnesota,45.091437,-93.435901
"905 River Rd, Edgewater, NJ 07020, USA",Edgewater,New Jersey,40.824917,-73.97392
"3139 Sheridan Dr, Buffalo, NY 14226, USA",Buffalo,New York,42.979114,-78.816874
"1401 E 41st St, Tulsa, OK 74105, USA",Tulsa,Oklahoma,36.104946,-95.973272
"4801 Colleyville Blvd, Colleyville, TX 76034, USA",Colleyville,Texas,32.879086,-97.155428
"5880 Centre Ave, Pittsburgh, PA 15206, USA",Pittsburgh,Pennsylvania,40.45845,-79.928985
"4004 Bellaire Blvd, Houston, TX 77025, USA",Houston,Texas,29.706877,-95.441641
"1800 Laskin Rd, Virginia Beach, VA 23454, USA",Virginia Beach,Virginia,36.850866,-76.028072
"2501 Memorial Pkwy SW, Huntsville, AL 35801, USA",Huntsville,Alabama,34.712283,-86.589841
"21347 Ventura Blvd, Woodland Hills, CA 91364, USA",Los Angeles,California,34.168094,-118.596867
"7871 Santa Monica Blvd, West Hollywood, CA 90046, USA",West Hollywood,California,34.09152,-118.360773
"790 De Long Ave, Novato, CA 94945, USA",Novato,California,38.105674,-122.565462
"20955 Stevens Creek Blvd, Cupertino, CA 95014, USA",Cupertino,California,37.323605,-122.039589
"870 S Colorado Blvd, Glendale, CO 80246, USA",Glendale,Colorado,39.70062,-104.939902
"5 Sugar Hollow Rd, Danbury, CT 06810, USA",Danbury,Connecticut,41.377767,-73.475576
"7930 SW 104th St, Miami, FL 33156, USA",Miami,Florida,25.673125,-80.323453
"5945 State Bridge Rd, Duluth, GA 30097, USA",Duluth,Georgia,34.014308,-84.184846
"7245 Lake St, River Forest, IL 60305, USA",River Forest,Illinois,41.887377,-87.806264
"880 Main St, Melrose, MA 02176, USA",Melrose,Massachusetts,42.464962,-71.062598
"4059, 4059 Finn Way, Lexington, KY 40517, USA",Lexington,Kentucky,37.977633,-84.528672
"102 New Waverly Pl, Cary, NC 27518, USA",Cary,North Carolina,35.737459,-78.777314
"300 Legacy Pl, Dedham, MA 02026, USA",Dedham,Massachusetts,42.233035,-71.177959
"1575 Selby Ave, St Paul, MN 55104, USA",Saint Paul,Minnesota,44.946911,-93.166079
"2245 Springfield Ave, Vauxhall, NJ 07088, USA",Union,New Jersey,40.716954,-74.286673
"1 Ridge Hill Boulevard, Yonkers, NY 10710, USA",Yonkers,New York,40.962711,-73.855568
"11 S State St, Lake Oswego, OR 97034, USA",Lake Oswego,Oregon,45.415784,-122.662006
"11041 Westheimer Rd, Houston, TX 77042, USA",Houston,Texas,29.734897,-95.570629
"175 Pottstown Pike, Exton, PA 19341, USA",Exton,Pennsylvania,40.031442,-75.628418
"8190 Park Ln #351, Dallas, TX 75231, USA",Dallas,Texas,32.871642,-96.765722
"2700 Wilson Blvd, Arlington, VA 22201, USA",Arlington,Virginia,38.889111,-77.091022
"3968 Airport Blvd, Mobile, AL 36608, USA",Mobile,Alabama,30.677189,-88.151046
"3682 Bel Aire Plaza, Napa, CA 94558, USA",Napa,California,38.32344,-122.306267
"465 S Arroyo Pkwy, Pasadena, CA 91105, USA",Pasadena,California,34.137826,-118.14782
"788 S Grand Ave, Los Angeles, CA 90017, USA",Los Angeles,California,34.046056,-118.257744
"270 Palladio Pkwy, Folsom, CA 95630, USA",Folsom,California,38.648858,-121.118066
"5155 S Wadsworth Blvd, Littleton, CO 80123, USA",Littleton,Colorado,39.62318,-105.092247
"1686 Boston Post Rd, Milford, CT 06460, USA",Milford,Connecticut,41.248559,-73.024665
"9101 Strada Pl, Naples, FL 34108, USA",Naples,Florida,26.25459,-81.79995
"1311 Johnson Ferry Rd, Marietta, GA 30068, USA",Marietta,Georgia,33.980476,-84.427947
"Centennial Hall, 959 W Fullerton Ave, Chicago, IL 60614, USA",Chicago,Illinois,41.925081,-87.653219
"100 Market St, Lynnfield, MA 01940, USA",Lynnfield,Massachusetts,42.51512,-71.029763
"3450 US-190, Mandeville, LA 70471, USA",Mandeville,Louisiana,30.392367,-90.084622
"621 Broad St, Durham, NC 27705, USA",Durham,North Carolina,36.007098,-78.920701
"916 Walnut St, Newton, MA 02461, USA",Newton,Massachusetts,42.330012,-71.206377
"3060 Excelsior Blvd, Minneapolis, MN 55416, USA",Minneapolis,Minnesota,44.94772,-93.322185
"44 Godwin Ave, Ridgewood, NJ 07450, USA",Ridgewood,New Jersey,40.978428,-74.122508
"808 Columbus Ave, New York, NY 10018, USA",New York,New York,40.795401,-73.965888
"2825 E Burnside St, Portland, OR 97214, USA",Portland,Oregon,45.52326,-122.636734
"6601 S Fry Rd, Katy, TX 77494, USA",Katy,Texas,29.712479,-95.771465
