RegionName,City,State,Metro,CountyName,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
10025,New York,NY,New York-Newark-Jersey City,New York County,1,875000,895000,895000,882000,875000,849000,849000,825000,849000,849000,845000,841000,899000,875000,899000,899000,899000,925000,925000,899999,905000,977000,1125000,1137000,1050000,1050000,997750,930000,975000,950000,927000,920000,950000,950000,965000,899000,892500,890000,890000,895000,895000,990000,1075000,1100000,975000,1075000,1150000,1195000,1145000,1100000,995000,995000,1050000,1085000,1100000,1100000,1135000,1148500,1199000,1195000,1195000,1225000,1225000,1292500,1350000,1346500,1320000,1350000,1350000,1349999.5,1325000,1450000,1470000,1500000,1477500,1549000,1499000,1495000,1550000,1450000,1450000,1395000,1445000,1399000,1444500,1445000,1450000,1475000,1425000,1384000,1300000,1300000,1275000,1394000,1395000,1450000,1395000,1295000,1295000,1295000,1295000,1385000,1437000,1395000,1345000,1295000,1295000,1295000,1295000,1295000,1420000,1399500,1395000
60657,Chicago,IL,Chicago-Naperville-Elgin,Cook County,2,465000,449900,439900,440000,439900,440000,444950,445000,425000,425900,425000,425000,421000,432450,429900,425000,425000,424500,429000,429000,424000,415000,424000,421000,424700,424000,435000,435000,425000,424450,424000,415000,429950,424700,424500,419900,425000,425000,432500,439000,449000,449000,449000,449250,449900,466500,439250,439900,442000,449450,449000,459900,461950,469000,489900,465000,475000,456999.5,449700,475000,472500,469000,459900,459950,477000,499900,489000,499000,515000,524950,524950,515000,529889,549000,531950,534000,532000,539950,550000,569900,595000,6.00E+05,630000,675000,675000,649000,625000,625000,625000,625000,597000,625000,625000,624900,624900,675000,649900,625000,599000,599000,6.00E+05,596000,597000,590000,599000,579500,585000,575000,574950,575000,585000,585000,595000
10023,New York,NY,New York-Newark-Jersey City,New York County,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2275000,2365000,2277000,2281000,2257500,2311500,2295000,2278500,2299000,2350000,2300000,2365000,2350000,2320000,2195000,2262500,2297000,2255000,2300000,2295000,2347500,2350000,2349500,2040000,1890000,1875000,1895000,1895000,1895000,1895000,1900000,1899500,1946250,1995000,2050000,1995000,1895000,1972500,1997000
77494,Katy,TX,Houston-The Woodlands-Sugar Land,Harris County,4,329900,319900,324900,320000,321685.5,327010,317870,315825,309867.5,308000,306900,306995,303438,304750,306990,305000,3.00E+05,298372.5,299000,294702,299850,299900,299900,304900,302225.5,299433,305686,301990,307838,306990,304890,309990,309007,309950,312053,310000,314900,320000,332900,333903.5,335990,341970,339845,340000,346828.5,350000,349900,354465.5,352720,362945,374950,379900,375000,375000,379990,380538.5,377990,382826,393610.5,399994.5,406945,399500,399900,402356,399999.5,395365,399900,393990,398800,397625,396990,394990,395995,385000,385990,385000,389733,389990,387561.5,389900,389900,389900,385000,389000,393565.5,395000,394900,398990,399900,399925,399000,395000,394900,395990,395990,395990,395000,398895,398995,399990,399697,394900,395000,398990,398930,399500,399900,398800,395450,399000,399000,399900,4.00E+05
60614,Chicago,IL,Chicago-Naperville-Elgin,Cook County,5,567250,529950,519900,509000,515000,539000,529000,549000,525000,524900,525000,539000,540000,540000,527000,529000,525000,519000,524900,525000,549000,549900,550000,549250,549900,565000,549900,574900,549000,559000,569000,599000,599000,599450,625000,599900,599900,599000,575000,579950,580000,559000,559000,549000,624900,589900,599000,615000,599000,569000,549000,549250,549500,549900,559900,562500,575000,592500,599900,629900,679900,625000,649000,649000,625000,629500,627000,627000,675000,649900,657500,655000,675000,679900,649000,650000,675000,7.00E+05,719000,725000,721950,749000,765000,790000,775000,785000,750000,749000,749000,743000,738497.5,748750,749900,749900,859000,871000,860000,799000,765000,799000,8.00E+05,799000,774950,750000,786450,789900,799000,799000,799000,789450,760000,745000,722500
79936,El Paso,TX,El Paso,El Paso County,6,198000,199750,199550,197000,199000,196950,190000,189800,190000,190700,194500,199700,195000,195000,199000,198250,195000,189900,189000,189500,186950,185000,182100,184900,185000,185000,189990,188500,190200,192500,190000,185000,194600,193000,194200,190400,189900,189700,191500,190000,195200,195900,192200,192200,192500,189900,189900,185000,185000,184950,182475,184250,189900,189900,189999,194900,193500,192500,194900,192000,192100,191500,189000,189900,191500,191900,190000,196000,192750,188950,193000,189950,189887.5,185000,195475,195475,192500,190000,190000,189950,183500,181750,181000,179999.5,180500,183450,180000,185000,184950,195000,199770,199000,199125,190000,190000,198200,197450,197425,195900,199890,205000,206500,210000,208000,218000,217500,222500,227500,212450,227500,220000,227900,210972.5
77084,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299700,299900,302185,302185,299999.5,304275,306767.5,309025,309990,314777,319000,329000,329499.5
10002,New York,NY,New York-Newark-Jersey City,New York County,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,1200000,1200000,1275000,1300000,1212500,1200000,1212500,1150000,1200000,1150000,1285000,1300000,1375000,1385000,1427500,1551000,1551000,1575000,1544500,1542604,1573000,1580000,1610000,1605000,1666000,1630000,1630000,1579000,1580000,1598000,1584500,1573000,1543500,1551000,1560000,1574000,1614000,1589500,1590000,1571500,1550000,1569000,1580000
11226,New York,NY,New York-Newark-Jersey City,Kings County,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,842500,852000,875000,799000,702500,705000,750000,792500,8.00E+05,850000,850000,795000,799000,842000,799000,799000,799000,799000,820000,799000,799000,792000,799000,799497.5,799000,792000,795000
60640,Chicago,IL,Chicago-Naperville-Elgin,Cook County,10,370000,365800,359000,359000,355000,352499.5,355000,349900,349000,349000,339900,339800,329950,329000,324500,319000,319000,317000,314900,314900,314881.5,319000,319000,319950,309000,299900,309000,314900,315000,320000,325000,325000,329500,329000,324900,3.00E+05,299000,299000,299900,324900,325000,322200,329450,327000,338250,324900,338250,322495,339000,342750,349000,348500,350000,349950,349750,359900,364500,359900,365000,364500,364750,349900,359900,359950,364000,375000,375000,356500,364000,368450,389900,389900,387000,395000,387400,389000,4.00E+05,4.00E+05,399900,418250,415000,399900,399900,429000,424900,424900,399949.5,417000,418750,419000,419000,419950,419500,445000,449500,459000,449250,425000,399000,415000,413700,419000,415000,425000,409450,409900,409900,410000,415000,425000,425000,415000,420000
